Account ID,Transaction Date,Transaction Type,Category,Amount,Description
RXWT2473,22/11/2024 08:42,Withdraw,ATM Cash Withdraw,150,ATM Cash Withdraw at Strathfield branch
QXMH1436,23/11/2024 09:09,Transfer,Groceries,19.63,Transfer to Alex for supermarket bill
IOPL3764,2/11/2024 09:47,Deposit,Income,114.15,Bank interest
QXMH1436,6/11/2024 21:37,Transfer,Utilities,7563.65,Transfer to John for electricity bill
SCRE4918,26/11/2024 20:31,Transfer,Groceries,194.05,Transfer to Alex for supermarket bill
FZLH2672,16/11/2024 23:36,Deposit,Income,1204.05,Investment income
RXWT2473,17/11/2024 22:18,Withdraw,ATM Cash Withdraw,140,ATM Cash Withdraw at Hornsby branch
OAJX8472,26/11/2024 20:34,Payment,Groceries,221.5,Organic food shop
CQSK8862,28/11/2024 21:56,Withdraw,ATM Cash Withdraw,90,ATM Cash Withdraw at Cronulla branch
IOPL3764,18/11/2024 23:45,Withdraw,ATM Cash Withdraw,2920,ATM Cash Withdraw at Surry Hills branch
TKRR6271,4/11/2024 20:34,Withdraw,ATM Cash Withdraw,90,ATM Cash Withdraw at Hornsby branch
IOPL3764,6/11/2024 15:11,Withdraw,ATM Cash Withdraw,300,ATM Cash Withdraw at Surry Hills branch
NHAD9393,28/11/2024 22:06,Payment,Dining,125.27,Italian restaurant outing
YRMX9241,27/11/2024 12:24,Transfer,Groceries,219.03,Transfer to Alex for supermarket bill
LVGF8990,19/11/2024 13:06,Withdraw,ATM Cash Withdraw,60,ATM Cash Withdraw at Randwick branch
PHZB4600,26/11/2024 18:05,Transfer,Utilities,9681.3,Transfer to John for electricity bill
YRMX9241,2/11/2024 14:20,Payment,Dining,78.4,Fast food meal
FRQA5486,6/11/2024 14:03,Transfer,Dining,134.83,Transfer to Sarah for dinner outing
TKRR6271,24/11/2024 23:29,Withdraw,ATM Cash Withdraw,150,ATM Cash Withdraw at Parramatta branch
LVGF8990,22/11/2024 20:04,Payment,Utilities,4483.25,Gas utility charge
PHZB4600,24/11/2024 22:28,Payment,Groceries,21.76,Supermarket purchase
RXWT2473,13/11/2024 22:37,Payment,Utilities,8234.19,Gas utility charge
NHAD9393,19/11/2024 21:12,Withdraw,ATM Cash Withdraw,40,ATM Cash Withdraw at Cronulla branch
RXWT2473,2/11/2024 10:27,Payment,Groceries,257.01,Local market shopping
QXMH1436,6/11/2024 22:07,Withdraw,ATM Cash Withdraw,60,ATM Cash Withdraw at Liverpool branch
YRMX9241,4/11/2024 21:48,Withdraw,ATM Cash Withdraw,7180,ATM Cash Withdraw at Blacktown branch
SCRE4918,9/11/2024 21:31,Payment,Groceries,35.66,Supermarket purchase
LVGF8990,9/11/2024 22:59,Transfer,Groceries,272.31,Transfer to Alex for supermarket bill
SCRE4918,27/11/2024 20:02,Transfer,Transportation,3.29,Transfer to Jamie for taxi fare
PHZB4600,10/11/2024 21:49,Payment,Groceries,166.81,Organic food shop
ZEPO3504,23/11/2024 13:11,Withdraw,ATM Cash Withdraw,1520,ATM Cash Withdraw at Liverpool branch
ZEPO3504,8/11/2024 22:14,Payment,Entertainment,118.69,Movie tickets
ZEPO3504,17/11/2024 20:13,Withdraw,ATM Cash Withdraw,3050,ATM Cash Withdraw at Castle Hill branch
NHAD9393,12/11/2024 21:51,Transfer,Transportation,82.74,Transfer to Jamie for taxi fare
PHZB4600,3/11/2024 20:04,Withdraw,ATM Cash Withdraw,280,ATM Cash Withdraw at Castle Hill branch
QXMH1436,4/11/2024 23:38,Withdraw,ATM Cash Withdraw,9710,ATM Cash Withdraw at Chatswood branch
PHZB4600,1/11/2024 16:36,Payment,Utilities,1772.53,Water bill settlement
NHAD9393,8/11/2024 18:17,Payment,Entertainment,237.32,Concert ticket
FZLH2672,25/11/2024 13:48,Transfer,Transportation,21.63,Transfer to Jamie for taxi fare
FZLH2672,1/11/2024 11:10,Withdraw,ATM Cash Withdraw,220,ATM Cash Withdraw at Newtown branch
ZEPO3504,16/11/2024 20:39,Transfer,Transportation,27.73,Transfer to Jamie for taxi fare
NHAD9393,20/11/2024 20:21,Withdraw,ATM Cash Withdraw,90,ATM Cash Withdraw at Randwick branch
FZLH2672,3/11/2024 15:29,Withdraw,ATM Cash Withdraw,80,ATM Cash Withdraw at Parramatta branch
TKRR6271,15/11/2024 22:07,Withdraw,ATM Cash Withdraw,150,ATM Cash Withdraw at Strathfield branch
QXMH1436,27/11/2024 21:51,Withdraw,ATM Cash Withdraw,110,ATM Cash Withdraw at Blacktown branch
SCRE4918,18/11/2024 23:42,Transfer,Groceries,136.25,Transfer to Alex for supermarket bill
QXMH1436,8/11/2024 20:04,Payment,Groceries,65.66,Supermarket purchase
FRQA5486,15/11/2024 08:34,Withdraw,ATM Cash Withdraw,260,ATM Cash Withdraw at Randwick branch
ZEPO3504,28/11/2024 23:18,Deposit,Income,1198.99,Investment income
XEXV5098,28/11/2024 11:43,Withdraw,ATM Cash Withdraw,210,ATM Cash Withdraw at Surry Hills branch
TKRR6271,4/11/2024 15:33,Withdraw,ATM Cash Withdraw,60,ATM Cash Withdraw at Penrith branch
LVGF8990,6/11/2024 22:19,Payment,Utilities,4152.38,Electricity bill payment
TKRR6271,9/11/2024 12:30,Withdraw,ATM Cash Withdraw,350,ATM Cash Withdraw at Blacktown branch
QXMH1436,18/11/2024 23:13,Transfer,Entertainment,72.26,Transfer to Chris for concert ticket
TKRR6271,28/11/2024 17:49,Withdraw,ATM Cash Withdraw,30,ATM Cash Withdraw at Blacktown branch
QXMH1436,18/11/2024 22:05,Transfer,Groceries,29.3,Transfer to Alex for supermarket bill
XEXV5098,22/11/2024 21:56,Payment,Groceries,55.77,Supermarket purchase
ZEPO3504,18/11/2024 23:12,Transfer,Groceries,79.68,Transfer to Alex for supermarket bill
RXWT2473,23/11/2024 23:08,Payment,Dining,80.66,Italian restaurant outing
NHAD9393,4/11/2024 18:52,Payment,Entertainment,281.6,Gaming subscription
NHAD9393,7/11/2024 21:40,Transfer,Utilities,1152.89,Transfer to John for electricity bill
FZLH2672,4/11/2024 22:52,Withdraw,ATM Cash Withdraw,20,ATM Cash Withdraw at Parramatta branch
QXMH1436,10/11/2024 20:29,Transfer,Entertainment,311.04,Transfer to Chris for concert ticket
SCRE4918,2/11/2024 20:29,Transfer,Entertainment,288.92,Transfer to Chris for concert ticket
TKRR6271,27/11/2024 11:59,Transfer,Groceries,280.27,Transfer to Alex for supermarket bill
SCRE4918,5/11/2024 22:40,Transfer,Dining,24.69,Transfer to Sarah for dinner outing
RXWT2473,18/11/2024 10:20,Deposit,Income,8915.05,Working income
NHAD9393,15/11/2024 16:13,Transfer,Transportation,60.46,Transfer to Jamie for taxi fare
QXMH1436,28/11/2024 16:53,Transfer,Utilities,4512.3,Transfer to John for electricity bill
OAJX8472,1/11/2024 13:14,Withdraw,ATM Cash Withdraw,0,ATM Cash Withdraw at Randwick branch
CQSK8862,21/11/2024 21:12,Withdraw,ATM Cash Withdraw,7620,ATM Cash Withdraw at Cronulla branch
